,mean_intensity,median_intensity,sd_intensity,min_intensity,max_intensity,mean_ratio,mean_difference,mean_all_ratio,mean_all_difference,mean_max_ratio,mean_max_difference,lbp_mean,lbp_std,contrast,correlation,energy,homogeneity,area,perimeter,eccentricity,major_axis_length,minor_axis_length,solidity,extent,hog_mean,hog_std,label
C3-noshock_106_pv_003_roi_2,209.38297872340425,255.0,61.28866237574497,53,255,2.5469120331271964,127.17245240761477,3.3194412262977013,146.30520013084967,1.002582279620004,0.5406853987331601,5.757575757575758,2.2262933323882876,4.41059130196186,0.9281030458083267,0.9992729192709144,0.9995632559727455,94.0,37.62741699796952,0.5710796075503984,12.14784952545525,9.97210509467107,0.8952380952380953,0.7121212121212122,0.000689392676576972,0.01381306629627943,1
C3-noshock_6_pl_002_roi_6,94.9278350515464,94.0,43.436942665161226,25,170,3.500132465587744,67.80662293033427,4.996195022999031,75.9278091088912,1.3830872492728439,36.36564320932317,4.592307692307692,2.150835808367578,0.15045699554722292,0.9599114997515983,0.9998082537268962,0.9998166998659895,97.0,37.21320343559643,0.7162881294952697,13.426311857091967,9.368942711375468,0.941747572815534,0.7461538461538462,0.00014637103595305234,0.006918649654835463,1
C4-40669_10X_BLA_001_roi_21,164.9404761904762,155.5,68.75514719960906,51,255,3.354721549636804,115.77380952380955,2.010487911310482,82.9004523422531,1.3978033357915052,65.61387163561076,4.9,2.3395156193822113,1.0519498746867164,0.9413066234824816,0.9996825401684528,0.999709163750741,84.0,34.97056274847714,0.7851408032970357,13.331819642602474,8.256626555032817,0.9230769230769231,0.7,5.964784213574603e-05,0.00427120178937912,1
C3-noshock_106_pv_003_roi_1,208.28318584070797,241.0,56.706115389733604,83,255,2.5094359739844334,125.28318584070797,3.302005721953132,145.2054072481534,1.0078761916129133,1.6404782814294379,5.333333333333333,2.2453655975512468,4.354547948964194,0.9396768825837406,0.9991425823770061,0.9994229963409393,113.0,38.62741699796952,0.6142499461569256,13.52062656466571,10.669282288163952,0.9658119658119658,0.7847222222222222,0.0004011725541204214,0.01181503850966692,1
C3-noshock_106_mo_003_roi_7,16.813953488372093,15.0,4.67927550520918,12,33,1.2373905164602839,3.225718194254446,1.342278375312857,4.287525440648304,7.109338238439491,102.72212898585471,5.583333333333333,2.6601482832520613,0.023591524750794818,0.851391748983339,0.9997029854963247,0.9998162744201554,86.0,33.55634918610404,0.517880238372732,11.355249894447809,9.7138840712803,0.9247311827956989,0.7166666666666667,0.0001892943400889635,0.007431080099195242,0
C4-40669_10X_BLA__roi_1,221.1161616161616,255.0,50.08438980798834,84,255,2.34019750644769,126.63005050505049,2.476737547928583,131.8389744547315,1.035458105213399,7.840360122968832,5.925925925925926,2.1726571191690587,4.056300184578002,0.948786786769848,0.9991589431013302,0.9995068794616165,198.0,51.4558441227157,0.6546694401451759,18.308150738756495,13.839411056694827,0.9519230769230769,0.7333333333333333,0.0005176934064365923,0.013092881068587303,1
C3-noshock_106_mo_002_roi_2,81.75,83.5,39.177081948506576,22,161,3.0704225352112675,55.125,4.362200006651715,63.009456266254816,1.7196462517563436,58.831081081081095,4.3,1.9773719933285188,0.15786598116441053,0.9236288352178731,0.9998545666925144,0.999858418868821,64.0,27.31370849898476,0.46625240412015684,9.591663046625438,8.48528137423857,0.9411764705882353,0.8,0.00013790538650937378,0.00639708898961544,1
C3-noshock_6_pl_003_roi_7,92.41904761904762,94.0,29.19157770002814,31,147,2.211812026546893,50.634733893557424,4.586987775228611,72.27095650833138,1.503320878653299,46.516436251920126,4.891025641025641,2.257675563064916,0.4541730026792281,0.9395659692192914,0.9995502865561019,0.9995791750569585,105.0,38.384776310850235,0.3131038576712121,11.983119754186735,11.380595218738929,0.9130434782608695,0.6730769230769231,0.00042100445716641843,0.01197369210422039,1
C3-noshock_1_pagm_001_roi_3,97.6590909090909,101.5,45.56411226443769,27,182,2.7317228226319137,61.90909090909091,3.6302796875409076,70.75783279273801,1.0,0.0,4.6875,2.3642850399222173,0.4746160794941283,0.886880977432601,0.9997823768519534,0.9997909122050989,44.0,23.727922061357855,0.44887400158162094,7.992909404867776,7.142424356747312,0.8979591836734694,0.6875,0.0003148115938529372,0.00987841747701168,1
C3-noshock_101_cg_002_roi_9,27.375,27.0,5.501104687040393,19,44,1.2765544041450778,5.930555555555557,1.3969231227682195,7.778359673972467,5.869494770953013,133.30241935483872,4.622222222222222,2.5191611380588923,0.028845760980592435,0.9056560376174639,0.9997793669957032,0.9998281539246967,72.0,29.31370849898476,0.41659132762601453,10.048967230201981,9.135454515855518,0.9473684210526315,0.8,0.0002602632448542863,0.009234919212758541,0
